Title,Director,Rating,Cast,Votes
S.W.A.T.: Under Siege,Tony Giglio,4.6,"Sam Jaeger, Adrianne Palicki, Michael Jai White, Kyra Zagorsky",4456
Pootie Tang,Louis C.K.,5.3,"Chris Rock, Lance Crouther, J.B. Smoove, Jennifer Coolidge",15135
Broken City,Allen Hughes,6.1,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright",83433
Ondskan,Mikael Håfström,7.7,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård, Linda Zilliacus",42136
Un long dimanche de fiançailles,Jean-Pierre Jeunet,7.6,"Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon",75989
La reine Margot,Patrice Chéreau,7.4,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez",19022
Super Size Me,Morgan Spurlock,7.2,"Morgan Spurlock, Daryl Isaacs, Chemeeka Walker, Dania Abu-Rmaileh",113390
Tytöt tytöt tytöt,Alli Haapasalo,6.9,"Aamu Milonoff, Eleonoora Kauhanen, Linnea Leino, Sonya Lindfors",2718
Kanojo,Ryûichi Hiroki,5.6,"Kiko Mizuhara, Honami Satô, Shinya Niiro, Shunsuke Tanaka",2546
Summer Catch,Michael Tollin,5.1,"Freddie Prinze Jr., Jessica Biel, Fred Ward, Matthew Lillard",16669
Starship Troopers: Traitor of Mars,Shinji Aramaki,5.5,"Masaru Matsumoto, Casper Van Dien, Dina Meyer, DeRay Davis, Justin Doran",6428
Book of Blood,John Harrison,5.2,"Jonas Armstrong, Sophie Ward, Clive Russell, Paul Blair",8316
I racconti di Canterbury,Pier Paolo Pasolini,6.4,"Hugh Griffith, Laura Betti, Ninetto Davoli, Franco Citti",8240
The Kid,Jon Turteltaub,6.1,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",44455
The King and I,Walter Lang,7.4,"Yul Brynner, Deborah Kerr, Rita Moreno, Martin Benson",27948
The Man Who Killed Hitler and Then the Bigfoot,Robert D. Krzykowski,5.7,"Sam Elliott, Rocco Gioffre, Aidan Turner, Melissa Jalali",13834
Voyna i mir,Sergey Bondarchuk,8.3,"Lyudmila Saveleva, Vyacheslav Tikhonov, Sergey Bondarchuk, Boris Zakhava",8360
Something Wild,Jonathan Demme,6.9,"Jeff Daniels, Melanie Griffith, George 'Red' Schwartz, Leib Lensky",21145
Scoop,Woody Allen,6.6,"Scarlett Johansson, Hugh Jackman, Jim Dunk, Robert Bathurst",87680
Man on a Ledge,Asger Leth,6.6,"Sam Worthington, Elizabeth Banks, Jamie Bell, Mandy Gonzalez",158649
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Yûsuke Ishida,5.5,"Eiji Akaso, Mai Shiraishi, Shuntarô Yanagi, Yui Ichikawa",6320
Savage Salvation,Randall Emmett,4.8,"Jack Huston, Robert De Niro, John Malkovich, Willa Fitzgerald",2730
In the Fire,Conor Allyn,2.8,"Amber Heard, Eduardo Noriega, Sophie Amber, Luca Calvani",4007
The Contract,Bruce Beresford,5.6,"John Cusack, Morgan Freeman, Jamie Anderson, Alice Krige",26071
Deuce Bigalow: European Gigolo,Mike Bigelow,4.7,"Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger",53440
Memorîzu,Kôji Morimoto,7.5,"Tensai Okamura, Katsuhiro Ôtomo, Marc Swint, Robbie Daymond, Frank Todaro, Laura Post",21460
Persepolis,Vincent Paronnaud,8.0,"Marjane Satrapi, Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux",100299
Vantage Point,Pete Travis,6.6,"Dennis Quaid, Forest Whitaker, Matthew Fox, Bruce McGill",154148
Rollercoaster,James Goldstone,6.3,"George Segal, Timothy Bottoms, Richard Widmark, Henry Fonda",6926
Bastille Day,James Watkins,6.3,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly",50996
Martyrs,Kevin Goetz,4.0,"Michael Goetz, Troian Bellisario, Bailey Noble, Kate Burton, Caitlin Carmichael",6934
Nomads,John McTiernan,5.2,"Lesley-Anne Down, Pierce Brosnan, Anna Maria Monticelli, Adam Ant",5356
Deep End,Jerzy Skolimowski,7.2,"Jane Asher, John Moulder-Brown, Karl Michael Vogler, Christopher Sandford",7522
Wayne's World 2,Stephen Surjik,6.2,"Mike Myers, Dana Carvey, Christopher Walken, Tia Carrere",88220
Can You Keep a Secret?,Elise Durán,5.4,"Alexandra Daddario, Tyler Hoechlin, Sunita Mani, David Ebert",20848
The Noel Diary,Charles Shyer,6.1,"Justin Hartley, Barrett Doss, Bonnie Bedelia, James Remar",19178
Girl in the Picture,Skye Borgman,7.3,"Karen Parsley, Charles Engles, Merle Bean, Ernest Bean",21793
Teenage Mutant Ninja Turtles III,Stuart Gillard,4.8,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",36491
The Little Shop of Horrors,Roger Corman,6.2,"Jonathan Haze, Jackie Joseph, Mel Welles, Dick Miller",19629
Ms .45,Abel Ferrara,6.8,"Zoë Lund, Bogey, Albert Sinkys, Darlene Stuto",12595
His Girl Friday,Howard Hawks,7.8,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart",63268
Chevalier,Stephen Williams,6.5,"Kelvin Harrison Jr., Samara Weaving, Lucy Boynton, Ronke Adekoluejo",6879
Death Wish 4: The Crackdown,J. Lee Thompson,5.4,"Charles Bronson, Kay Lenz, John P. Ryan, Perry Lopez",11160
"They Shoot Horses, Don't They?",Sydney Pollack,7.8,"Jane Fonda, Michael Sarrazin, Susannah York, Gig Young",20899
Satisfaction,Joan Freeman,4.9,"Justine Bateman, Liam Neeson, Trini Alvarado, Scott Coffey",3866
Foul Play,Colin Higgins,6.8,"Goldie Hawn, Chevy Chase, Burgess Meredith, Rachel Roberts",16974
Camelot,Joshua Logan,6.5,"Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings",7488
The Giant Mechanical Man,Lee Kirk,6.7,"Jenna Fischer, Chris Messina, Topher Grace, Malin Akerman",10705
892,Abi Damaris Corbin,6.3,"John Boyega, Nicole Beharie, Selenis Leyva, Michael Kenneth Williams",7894
Intruders,Juan Carlos Fresnadillo,5.4,"Clive Owen, Carice van Houten, Izán Corchero, Ella Purnell",21344
Unsane,Steven Soderbergh,6.4,"Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple",49986
Iron Eagle,Sidney J. Furie,5.5,"Louis Gossett Jr., Jason Gedrick, David Suchet, Tim Thomerson",16019
Doeorak,Kwon Lee,6.4,"Kong Hyo-jin, Kim Ye-won, Kim Sung-oh, Jo Bok-rae",3446
Pat Garrett and Billy the Kid,Sam Peckinpah,7.2,"James Coburn, Kris Kristofferson, Richard Jaeckel, Katy Jurado",21117
Shortcomings,Randall Park,6.4,"Justin H. Min, Sherry Cola, Ally Maki, Tavi Gevinson",3405
L'inconnu du lac,Alain Guiraudie,6.9,"Pierre Deladonchamps, Christophe Paou, Patrick d'Assumçao, Jérôme Chappatte",15933
Tigerland,Joel Schumacher,6.9,"Colin Farrell, Matthew Davis, Clifton Collins Jr., Tom Guiry",43390
Sydney,Paul Thomas Anderson,7.1,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson",54971
Hamlet,Franco Zeffirelli,6.7,"Mel Gibson, Glenn Close, Alan Bates, Paul Scofield",23639
Yi yi,Edward Yang,8.1,"Nien-Jen Wu, Elaine Jin, Issei Ogata, Kelly Lee",28499
Caged Heat,Jonathan Demme,5.3,"Juanita Brown, Erica Gavin, Roberta Collins, Ella Reid",2998
Celebrity Sex Tape,Scott Wheeler,2.9,"Jack Cullison, Howard Cai, Jonathan Brett, Colbert Alembert",2990
Last Exit to Brooklyn,Uli Edel,6.8,"Jennifer Jason Leigh, Stephen Lang, Burt Young, Peter Dobson",6972
The Reef,Andrew Traucki,5.8,"Damian Walshe-Howling, Gyton Grantley, Adrienne Pickering, Zoe Naylor",20959
Priceless,Ben Smallbone,6.0,"Joel Smallbone, Bianca A. Santos, David Koechner, Jim Parrack",4150
Ticks,Tony Randel,5.5,"Rosalind Allen, Ami Dolenz, Seth Green, Virginya Keehne",5787
Ba wang bie ji,Kaige Chen,8.1,"Leslie Cheung, Fengyi Zhang, Gong Li, You Ge",33230
The Children's Hour,William Wyler,7.8,"Audrey Hepburn, Shirley MacLaine, James Garner, Miriam Hopkins",18452
Pawn Sacrifice,Edward Zwick,7.0,"Tobey Maguire, Liev Schreiber, Peter Sarsgaard, Michael Stuhlbarg",49351
The Last Legion,Doug Lefler,5.4,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan, Peter Mullan",37121
Byôsoku 5 senchimêtoru,Makoto Shinkai,7.5,"Kenji Mizuhashi, Yoshimi Kondou, Satomi Hanamura, Ayaka Onoue",63941
P2,Franck Khalfoun,5.9,"Rachel Nichols, Wes Bentley, Simon Reynolds, Philip Akin",36472
My Best Friend's Exorcism,Damon Thomas,5.3,"Elsie Fisher, Amiah Miller, Rachel Ogechi Kanu, Cathy Ang",6422
Koneko monogatari,Masanori Hata,6.9,"Kyôko Koizumi, Dudley Moore, Chatran, Pû",12744
The Black Stallion,Carroll Ballard,7.4,"Kelly Reno, Mickey Rooney, Teri Garr, Clarence Muse",14060
Biloxi Blues,Mike Nichols,6.6,"Matthew Broderick, Christopher Walken, Matt Mulhern, Corey Parker",16558
Problem Child 2,Brian Levant,4.9,"John Ritter, Michael Oliver, Jack Warden, Laraine Newman",23769
Beginners,Mike Mills,7.2,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic",94871
Fruitvale Station,Ryan Coogler,7.5,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand",85963
The Love Bug,Robert Stevenson,6.5,"Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett",17563
Bonjour tristesse,Otto Preminger,6.9,"Jean Seberg, David Niven, Deborah Kerr, Mylène Demongeot",5617
Unpregnant,Rachel Lee Goldenberg,6.5,"Haley Lu Richardson, Barbie Ferreira, Giancarlo Esposito, Alex MacNicoll",9860
Joe Versus the Volcano,John Patrick Shanley,5.9,"Tom Hanks, Meg Ryan, Lloyd Bridges, Robert Stack",39856
Prophecy,John Frankenheimer,5.5,"Talia Shire, Robert Foxworth, Armand Assante, Richard Dysart",6156
