Title,Director,Rating,Cast,Votes
Cobweb,Samuel Bodin,5.9,"Lizzy Caplan, Antony Starr, Cleopatra Coleman, Woody Norman",32409
Alone,John Hyams,6.2,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal",28851
The Pope's Exorcist,Julius Avery,6.1,"Russell Crowe, Daniel Zovatto, Alexandra Essoe, Franco Nero",83780
Fear,James Foley,6.2,"Mark Wahlberg, Reese Witherspoon, William Petersen, Amy Brenneman",55066
This Is 40,Judd Apatow,6.2,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",150708
Morning Glory,Roger Michell,6.5,"Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean",83095
Madagascar,Eric Darnell,6.9,"Tom McGrath, Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith",438462
Hellboy II: The Golden Army,Guillermo del Toro,7.0,"Ron Perlman, Selma Blair, Doug Jones, John Alexander",286337
Gokseong,Na Hong-jin,7.4,"Jun Kunimura, Hwang Jung-min, Kwak Do-won, Chun Woo-hee",82471
Nefarious,Chuck Konzelman,6.4,"Cary Solomon, Sean Patrick Flanery, Jordan Belfi, Tom Ohmer, Glenn Beck",27431
Shot Caller,Ric Roman Waugh,7.3,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal",98986
Greenland,Ric Roman Waugh,6.4,"Gerard Butler, Morena Baccarin, Roger Dale Floyd, Scott Glenn",135117
The Texas Chain Saw Massacre,Tobe Hooper,7.4,"Marilyn Burns, Edwin Neal, Allen Danziger, Paul A. Partain",184153
"Paris, Texas",Wim Wenders,8.1,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry",119531
Fresh,Mimi Cave,6.7,"Daisy Edgar-Jones, Sebastian Stan, Jojo T. Gibbs, Andrea Bang",74593
Smokey and the Bandit,Hal Needham,7.0,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry",57093
Chinatown,Roman Polanski,8.1,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",350431
Iron Man Three,Shane Black,7.1,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle",900605
Bully,Larry Clark,6.9,"Brad Renfro, Nick Stahl, Bijou Phillips, Rachel Miner",40580
Before Sunrise,Richard Linklater,8.1,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl",340276
She Came to Me,Rebecca Miller,6.0,"Peter Dinklage, Anne Hathaway, Marisa Tomei, Evan Ellison",4942
Wonder Woman 1984,Patty Jenkins,5.4,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",292194
Brothers,Jim Sheridan,7.1,"Jake Gyllenhaal, Natalie Portman, Tobey Maguire, Sam Shepard",147305
Sinister,Scott Derrickson,6.8,"Ethan Hawke, Juliet Rylance, James Ransone, Fred Thompson",280916
Aquaman,James Wan,6.8,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",521637
Battle for the Planet of the Apes,J. Lee Thompson,5.4,"Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden",34221
Misery,Rob Reiner,7.8,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen",236155
Some Kind of Wonderful,Howard Deutch,7.0,"Eric Stoltz, Mary Stuart Masterson, Lea Thompson, Craig Sheffer",34746
Moonlight,Barry Jenkins,7.4,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert",332361
The Change-Up,David Dobkin,6.3,"Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann",195898
The Warriors,Walter Hill,7.5,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",110902
Ender's Game,Gavin Hood,6.6,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",254556
Guardians of the Galaxy Vol. 2,James Gunn,7.6,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",760986
Wedding Crashers,David Dobkin,7.0,"Owen Wilson, Vince Vaughn, Rachel McAdams, Christopher Walken",376258
Kingsman: The Golden Circle,Matthew Vaughn,6.7,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum",363852
The Graduate,Mike Nichols,8.0,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels",288798
The Butterfly Effect,Eric Bress,7.6,"J. Mackye Gruber, Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson",521894
Dawn of the Dead,Zack Snyder,7.3,"Sarah Polley, Ving Rhames, Mekhi Phifer, Jake Weber",272924
Zapped!,Robert J. Rosenthal,4.9,"Scott Baio, Willie Aames, Robert Mandan, Felice Schachter",7657
Ant-Man and the Wasp: Quantumania,Peyton Reed,6.1,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer",229272
Zero Dark Thirty,Kathryn Bigelow,7.4,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",319349
Murder on the Orient Express,Kenneth Branagh,6.5,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench",297211
Children of Men,Alfonso Cuarón,7.9,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine",530087
"Confess, Fletch",Greg Mottola,6.5,"Jon Hamm, Caitlin Zerra Rose, Roy Wood Jr., Ayden Mayeri",20428
Event Horizon,Paul W.S. Anderson,6.6,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson",197520
Pan's Labyrinth,Guillermo del Toro,8.2,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú",703823
13 Going on 30,Gary Winick,6.3,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis",217535
The Fast and the Furious: Tokyo Drift,Justin Lin,6.0,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",300655
Wonder Woman,Patty Jenkins,7.3,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis",700474
Sicario: Day of the Soldado,Stefano Sollima,7.1,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",167469
Predators,Nimród Antal,6.4,"Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga",244262
Hercules,Ron Clements,7.3,"John Musker, Tate Donovan, Susan Egan, James Woods, Barbara Barrie",255722
Bad Boys for Life,Adil El Arbi,6.5,"Bilall Fallah, Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig",175592
MASH,Robert Altman,7.4,"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman",77024
Contact,Robert Zemeckis,7.5,"Jodie Foster, Matthew McConaughey, Tom Skerritt, John Hurt",293524
Relatos salvajes,Damián Szifron,8.1,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta",216831
RRR (Rise Roar Revolt),S.S. Rajamouli,7.8,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt",167652
Sense and Sensibility,Ang Lee,7.7,"Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson",125950
The Count of Monte Cristo,Kevin Reynolds,7.7,"Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc",148691
The NeverEnding Story,Wolfgang Petersen,7.3,"Noah Hathaway, Barret Oliver, Tami Stronach, Gerald McRaney",157275
Four Weddings and a Funeral,Mike Newell,7.1,"Hugh Grant, Andie MacDowell, James Fleet, Simon Callow",166485
Dogman,Luc Besson,6.8,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick",11229
Molly's Game,Aaron Sorkin,7.4,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera",188265
Empire Records,Allan Moyle,6.7,"Anthony LaPaglia, Debi Mazar, Maxwell Caulfield, Rory Cochrane",62026
The Karate Kid,Harald Zwart,6.2,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han",206043
Minority Report,Steven Spielberg,7.6,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",585198
It Follows,David Robert Mitchell,6.8,"Maika Monroe, Keir Gilchrist, Olivia Luccardi, Lili Sepe",269673
Beauty and the Beast,Gary Trousdale,8.0,"Kirk Wise, Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",480203
Rush Hour,Brett Ratner,7.0,"Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson",295318
Easy A,Will Gluck,7.0,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd",418696
The Man from U.N.C.L.E.,Guy Ritchie,7.2,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",333293
Pixels,Chris Columbus,5.6,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",159717
Don't Breathe,Fede Alvarez,7.1,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",301326
M3GAN,Gerard Johnstone,6.3,"Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald",143195
John Wick: Chapter 3 - Parabellum,Chad Stahelski,7.4,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne",426899
The Perfect Storm,Wolfgang Petersen,6.5,"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",178248
The Miracle Club,Thaddeus O'Sullivan,6.3,"Maggie Smith, Laura Linney, Kathy Bates, Agnes O'Casey",4741
Slumdog Millionaire,Danny Boyle,8.0,"Loveleen Tandan, Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",878706
Constantine,Francis Lawrence,7.0,"Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf",374965
Robin Hood: Prince of Thieves,Kevin Reynolds,6.9,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater",208710
Signs,M. Night Shyamalan,6.8,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",386341
Colossal,Nacho Vigalondo,6.2,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson",69305
The Girl with the Dragon Tattoo,David Fincher,7.8,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",495470
Big Trouble in Little China,John Carpenter,7.2,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",154342
RED,Robert Schwentke,7.0,"Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker",324227
The Amazing Spider-Man 2,Marc Webb,6.6,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",539167
Poltergeist,Tobe Hooper,7.3,"JoBeth Williams, Heather O'Rourke, Craig T. Nelson, Beatrice Straight",179915
Maze Runner: The Scorch Trials,Wes Ball,6.3,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito",277493
"O Brother, Where Art Thou?",Joel Coen,7.7,"Ethan Coen, George Clooney, John Turturro, Tim Blake Nelson, John Goodman",331358
A.I. Artificial Intelligence,Steven Spielberg,7.2,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards",323435
Leo,Robert Marianetti,7.0,"Robert Smigel, David Wachtenheim, Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander",35216
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,6.6,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",565199
Hot Fuzz,Edgar Wright,7.8,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",536039
Just One of the Guys,Lisa Gottlieb,6.5,"Joyce Hyser, Clayton Rohner, Billy Jayne, Toni Hudson",17917
Public Enemies,Michael Mann,7.0,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",319035
Mulan,Tony Bancroft,7.7,"Barry Cook, Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer",317183
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,5.5,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",263247
Antichrist,Lars von Trier,6.5,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",136738
Ronin,John Frankenheimer,7.2,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård",195456
The Cell,Tarsem Singh,6.4,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James",109242
Kung Fu Panda 3,Alessandro Carloni,7.1,"Jennifer Yuh Nelson, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",190090
Juno,Jason Reitman,7.4,"Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman",549842
The Lovely Bones,Peter Jackson,6.6,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",180120
District 9,Neill Blomkamp,7.9,"Sharlto Copley, David James, Jason Cope, Vanessa Haywood",717788
Stargate,Roland Emmerich,7.0,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors",205400
The Sting,George Roy Hill,8.3,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",280286
Old School,Todd Phillips,7.0,"Luke Wilson, Vince Vaughn, Will Ferrell, Jeremy Piven",243674
Legion,Scott Stewart,5.3,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black",112136
Der Name der Rose,Jean-Jacques Annaud,7.7,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin",117498
To Kill a Mockingbird,Robert Mulligan,8.3,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",333300
Pirates of the Caribbean: At World's End,Gore Verbinski,7.1,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush",694782
Palmer,Fisher Stevens,7.3,"Justin Timberlake, Juno Temple, Alisha Wainwright, Ryder Allen",44009
Teri Baaton Mein Aisa Uljha Jiya,Amit Joshi,6.3,"Aradhana Sah, Shahid Kapoor, Kriti Sanon, Dharmendra, Dimple Kapadia",48742
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,6.6,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",200223
Hypnotic,Robert Rodriguez,5.5,"Ben Affleck, Alice Braga, JD Pardo, Dayo Okeniyi",36485
Kynodontas,Yorgos Lanthimos,7.2,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Christos Passalis",110783
Spy,Paul Feig,7.0,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham",259133
How to Lose a Guy in 10 Days,Donald Petrie,6.5,"Kate Hudson, Matthew McConaughey, Adam Goldberg, Kathryn Hahn",270825
Room,Lenny Abrahamson,8.1,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",451277
Captain Fantastic,Matt Ross,7.8,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso",235472
Alien³,David Fincher,6.4,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann",319973
The Pursuit of Happyness,Gabriele Muccino,8.0,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe",562167
A Bridge Too Far,Richard Attenborough,7.4,"Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier",61672
What Jennifer Did,Jenny Popplewell,6.0,"Fernando Baldassini, Samantha Chang, Alan Cooke, Bill Courtice",6563
Cast Away,Robert Zemeckis,7.8,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",639923
The Lives of Others,Florian Henckel von Donnersmarck,8.4,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur",411062
Batman v Superman: Dawn of Justice,Zack Snyder,6.5,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",753220
Dances with Wolves,Kevin Costner,8.0,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",291222
The Girl Next Door,Gregory Wilson,6.5,"William Atherton, Blythe Auffarth, Blanche Baker, Kevin Chamberlin",29450
Space Cowboys,Clint Eastwood,6.5,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",86318
Ghostbusters II,Ivan Reitman,6.6,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",225416
Mononoke-hime,Hayao Miyazaki,8.3,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",434724
Superman,Richard Donner,7.4,"Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando",187788
Vacation,John Francis Daley,6.1,"Jonathan Goldstein, Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",121886
A Bug's Life,John Lasseter,7.2,"Andrew Stanton, Kevin Spacey, David Foley, Julia Louis-Dreyfus, Hayden Panettiere",315091
Brooklyn,John Crowley,7.5,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent",150688
Extraction 2,Sam Hargrave,7.0,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani",148489
Who Framed Roger Rabbit,Robert Zemeckis,7.7,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer",217253
Shame,Steve McQueen,7.2,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",206444
I Am Legend,Francis Lawrence,7.2,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",816239
Unthinkable,Gregor Jordan,7.0,"Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root",94381
Life,Daniel Espinosa,6.6,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada",254468
Maleficent,Robert Stromberg,6.9,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",400755
Spotlight,Tom McCarthy,8.1,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",502824
The 355,Simon Kinberg,5.6,"Jessica Chastain, Penélope Cruz, Bingbing Fan, Diane Kruger",37880
Shaun of the Dead,Edgar Wright,7.9,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis",595001
Pandorum,Christian Alvart,6.7,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",159736
Maestro,Bradley Cooper,6.5,"Carey Mulligan, Bradley Cooper, Matt Bomer, Vincenzo Amato",61315
The Devil All the Time,Antonio Campos,7.1,"Bill Skarsgård, Tom Holland, Banks Repeta, Emilio Subercaseaux Campos",153051
The Florida Project,Sean Baker,7.6,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera",128748
Enemy,Denis Villeneuve,6.9,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini",215713
CODA,Sian Heder,8.0,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant",165473
The Da Vinci Code,Ron Howard,6.6,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",459482
The Others,Alejandro Amenábar,7.6,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann",393798
Kindergarten Cop,Ivan Reitman,6.2,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt",162952
The Flintstones,Brian Levant,5.0,"John Goodman, Rick Moranis, Rosie O'Donnell, Halle Berry",86663
Hachi: A Dog's Tale,Lasse Hallström,8.1,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",312085
The Fugitive,Andrew Davis,7.8,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",319309
I Can Only Imagine,Andrew Erwin,7.3,"Jon Erwin, John Michael Finley, Madeline Carroll, Dennis Quaid, Trace Adkins",18341
The Curious Case of Benjamin Button,David Fincher,7.8,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",696823
The Wedding Planner,Adam Shankman,5.3,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers",86751
Fantastic Mr. Fox,Wes Anderson,7.9,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman",271048
Sucker Punch,Zack Snyder,6.1,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone",253018
First Blood,Ted Kotcheff,7.7,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney",276134
Ace in the Hole,Billy Wilder,8.1,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",39253
Hanu Man,Prasanth Varma,7.9,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Vinay Rai",23625
Valkyrie,Bryan Singer,7.1,"Tom Cruise, Bill Nighy, Carice van Houten, Kenneth Branagh",259617
Rain Man,Barry Levinson,8.0,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",547449
Rio Bravo,Howard Hawks,8.0,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson",68189
The Rocky Horror Picture Show,Jim Sharman,7.4,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien",167171
Thor,Kenneth Branagh,7.0,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",901656
50 First Dates,Peter Segal,6.8,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin",382980
Freud's Last Session,Matt Brown,6.1,"Anthony Hopkins, Matthew Goode, Liv Lisa Fries, Jodi Balfour",2764
Deliverance,John Boorman,7.7,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox",119472
Hud,Martin Ritt,7.8,"Paul Newman, Melvyn Douglas, Patricia Neal, Brandon De Wilde",24001
True Grit,Ethan Coen,7.6,"Joel Coen, Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin",357937
It Chapter Two,Andy Muschietti,6.5,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa",302842
I Spit on Your Grave,Steven R. Monroe,6.2,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese",93359
You'll Never Find Me,Josiah Allen,5.8,"Indianna Bell, Brendan Rock, Jordan Cowan, Elena Carapetis, Angela Korng",4202
The Nun II,Michael Chaves,5.6,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell",59219
Flight,Robert Zemeckis,7.3,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman",376580
Cocaine Bear,Elizabeth Banks,5.9,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr., Ray Liotta",107871
Thelma & Louise,Ridley Scott,7.6,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen",173654
A través de mi ventana,Marçal Forés,5.5,"Clara Galle, Julio Peña, Guillermo Lasheras, Natalia Azahara",18329
Jackie Brown,Quentin Tarantino,7.5,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",375713
"To Wong Foo Thanks for Everything, Julie Newmar",Beeban Kidron,6.7,"Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing",36676
Lady Chatterley's Lover,Laure de Clermont-Tonnerre,6.6,"Emma Corrin, Jack O'Connell, Matthew Duckett, Joely Richardson",23130
The Blues Brothers,John Landis,7.9,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy",214850
Mamma Mia! Here We Go Again,Ol Parker,6.6,"Lily James, Amanda Seyfried, Meryl Streep, Cher",109314
Hotaru no haka,Isao Takahata,8.5,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",311357
12 Monkeys,Terry Gilliam,8.0,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito",647448
The Last Airbender,M. Night Shyamalan,4.0,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone, Dev Patel",175066
The Big Chill,Lawrence Kasdan,7.1,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt",41624
The Pale Blue Eye,Scott Cooper,6.6,"Christian Bale, Harry Melling, Simon McBurney, Timothy Spall",125102
A Matter of Life and Death,Michael Powell,8.0,"Emeric Pressburger, David Niven, Kim Hunter, Robert Coote, Kathleen Byron",25014
Crank: High Voltage,Mark Neveldine,6.1,"Brian Taylor, Jason Statham, Amy Smart, Clifton Collins Jr., Dwight Yoakam",159228
The Ring,Gore Verbinski,7.1,"Naomi Watts, Martin Henderson, Brian Cox, David Dorfman",375621
6 Underground,Michael Bay,6.1,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy",196981
The Fabelmans,Steven Spielberg,7.5,"Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch",117350
Coyote Ugly,David McNally,5.7,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello",121052
Source Code,Duncan Jones,7.5,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",550626
13 Hours: The Secret Soldiers of Benghazi,Michael Bay,7.3,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman",161166
The Princess Diaries 2: Royal Engagement,Garry Marshall,5.8,"Anne Hathaway, Callum Blue, Julie Andrews, Hector Elizondo",89135
The Phantom of the Opera,Joel Schumacher,7.2,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson",130837
The Beach,Danny Boyle,6.6,"Leonardo DiCaprio, Tilda Swinton, Daniel York, Patcharawan Patarakijjanon",254144
The Hobbit: The Desolation of Smaug,Peter Jackson,7.8,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",706454
Looper,Rian Johnson,7.4,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",603673
King Richard,Reinaldo Marcus Green,7.5,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal, Saniyya Sidney",137282
Dredd,Pete Travis,7.1,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",294921
Aladdin,Ron Clements,8.0,"John Musker, Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",468021
Coraline,Henry Selick,7.7,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",264414
The School for Good and Evil,Paul Feig,5.9,"Kit Young, Sophia Anne Caruso, Cate Blanchett, Liam Woon",36289
A Beautiful Day in the Neighborhood,Marielle Heller,7.2,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson",88961
Night at the Museum,Shawn Levy,6.5,"Ben Stiller, Carla Gugino, Ricky Gervais, Dick Van Dyke",378023
Face/Off,John Woo,7.3,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",401521
Palm Springs,Max Barbakow,7.4,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher",183316
Atomic Blonde,David Leitch,6.7,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan",206931
Mystic River,Clint Eastwood,7.9,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum",486531
Close,Lukas Dhont,7.8,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker",35114
Captive State,Rupert Wyatt,6.0,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga",58127
Sausage Party,Conrad Vernon,6.1,"Greg Tiernan, Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",210464
Lawrence of Arabia,David Lean,8.3,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",314899
GATTACA,Andrew Niccol,7.7,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal",323787
The Hills Have Eyes,Alexandre Aja,6.4,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin",183534
House of Gucci,Ridley Scott,6.6,"Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons",160217
Gods of Egypt,Alex Proyas,5.4,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",126112
Star Trek Into Darkness,J.J. Abrams,7.7,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",497402
Mother!,Darren Aronofsky,6.6,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer",250167
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,6.5,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",374257
Garfield: The Movie,Peter Hewitt,5.0,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray",94044
