Title,Director,Actual Rating,Predicted Rating
Florence Foster Jenkins,Stephen Frears,6.8,6.636241234099723
Footloose,Herbert Ross,6.6,6.721737663221927
The Shadow,Russell Mulcahy,6.0,6.643785036669329
Nixon,Oliver Stone,7.1,6.668212587847102
The Great Wall,Yimou Zhang,5.9,6.617920570716393
Oblivion,Joseph Kosinski,7.0,6.696232425962783
The Fly,David Cronenberg,7.6,6.746524443093491
The Holiday,Nancy Meyers,6.9,6.673241789560173
Alone in the Dark,Uwe Boll,2.4,6.623309001123255
Monster's Ball,Marc Forster,7.1,6.685096336455268
Dante's Peak,Roger Donaldson,6.0,6.647018094913446
Alvin and the Chipmunks,Tim Hill,5.2,6.628338202836326
Jack Reacher,Christopher McQuarrie,7.0,6.752272102194143
The Bounty Hunter,Andy Tennant,5.5,6.767359707333355
Fantastic Mr. Fox,Wes Anderson,7.9,6.62115362896051
The Dark Knight Rises,Christopher Nolan,8.4,6.751912873500352
Catch Me If You Can,Steven Spielberg,8.1,6.633367404549396
The Debt,John Madden,6.8,6.702339313757226
Fifty Shades Freed,James Foley,4.5,6.717426918896438
Mission: Impossible,Brian De Palma,7.2,6.756582846519633
Hansel & Gretel: Witch Hunters,Tommy Wirkola,6.1,6.625105144592209
Victory,John Huston,6.6,6.7041354572261795
Sleepy Hollow,Tim Burton,7.3,6.628697431530116
Road House,Doug Liman,6.2,6.737902954442512
Kimi,Steven Soderbergh,6.3,6.633726633243187
God Is a Bullet,Nick Cassavetes,5.7,6.671086417397428
Atonement,Joe Wright,7.8,6.709523887633041
Speed,Jan de Bont,7.3,6.715271546733693
Clash of the Titans,Louis Leterrier,5.8,6.687610937311804
The People Under the Stairs,Wes Craven,6.4,6.620794400266719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,7.4,6.689766309474548
Body Snatchers,Abel Ferrara,6.0,6.775981195984334
28 Days,Betty Thomas,6.1,6.761252819538913
Blind Fury,Phillip Noyce,6.3,6.659231870502333
"Bardo, falsa crónica de unas cuantas verdades",Alejandro G. Iñárritu,6.7,6.772029680352635
How Green Was My Valley,John Ford,7.7,6.706290829388924
We Can Be Heroes,Robert Rodriguez,4.7,6.6488142383824
Reality Bites,Ben Stiller,6.6,6.762330505620285
Presumed Innocent,Alan J. Pakula,6.9,6.77382582382159
Water for Elephants,Francis Lawrence,6.9,6.734310667504604
Waterworld,Kevin Reynolds,6.3,6.691203224249711
Pain Hustlers,David Yates,6.5,6.740776783992838
16 Blocks,Richard Donner,6.6,6.6545618974830525
The Thing,John Carpenter,8.2,6.707368515470296
The Stepfather,Joseph Ruben,6.7,6.6955139685752005
Ripley Under Ground,Roger Spottiswoode,5.9,6.646299637525864
The Green Knight,David Lowery,6.6,6.743650613543164
Harry Potter and the Order of the Phoenix,David Yates,7.5,6.740776783992838
Friday the 13th Part III,Steve Miner,5.6,6.63480431932456
Mirror Mirror,Tarsem Singh,5.6,6.631212032386652
What Women Want,Nancy Meyers,6.4,6.673241789560173
Terminator Salvation,McG,6.5,6.68114482082357
Far and Away,Ron Howard,6.6,6.644862722750702
The Tragedy of Macbeth,Roman Polanski,7.4,6.645581180138283
The Godfather Part III,Francis Ford Coppola,7.6,6.734669896198395
Secret Window,David Koepp,6.5,6.744728299624537
Ghosts of Girlfriends Past,Mark Waters,5.8,6.6836594216801055
Pete's Dragon,David Lowery,6.7,6.743650613543164
Cahill U.S. Marshal,Andrew V. McLaglen,6.4,6.768437393414728
Yin shi nan nu,Ang Lee,7.8,6.767000478639565
Safe,Boaz Yakin,6.5,6.759456676069958
Twister,Jan de Bont,6.5,6.715271546733693
Punch-Drunk Love,Paul Thomas Anderson,7.3,6.665697986990566
Unfaithful,Adrian Lyne,6.7,6.774544281209171
La sociedad de la nieve,J.A. Bayona,7.8,6.7192230623653915
Fast X,Louis Leterrier,5.8,6.687610937311804
The Pink Panther,Blake Edwards,7.0,6.75981590476375
Death on the Nile,John Guillermin,7.2,6.704853914613761
The Smurfs,Raja Gosnell,5.4,6.657794955727169
The Belko Experiment,Greg McLean,6.2,6.727126093628789
Irréversible,Gaspar Noé,7.3,6.730718380566697
The Irishman,Martin Scorsese,7.8,6.682581735598733
Mortal Kombat,Paul W.S. Anderson,5.8,6.664979529602984
Hatari!,Howard Hawks,7.1,6.721019205834346
Stand by Me,Rob Reiner,8.1,6.651688067932726
Run All Night,Jaume Collet-Serra,6.6,6.71347540326474
The Big Knife,Robert Aldrich,6.8,6.650969610545144
Nebraska,Alexander Payne,7.7,6.771311222965054
(500) Days of Summer,Marc Webb,7.7,6.684737107761477
From Dusk Till Dawn,Robert Rodriguez,7.2,6.6488142383824
The Stepford Wives,Frank Oz,5.3,6.733592210117023
The Bonfire of the Vanities,Brian De Palma,5.6,6.756582846519633
Captain Phillips,Paul Greengrass,7.8,6.6664164443781475
Dicks: The Musical,Larry Charles,5.4,6.689766309474548
Immortals,Tarsem Singh,6.0,6.631212032386652
Braindead,Peter Jackson,7.5,6.661387242665077
Invasion of the Body Snatchers,Philip Kaufman,7.4,6.659591099196123
The BFG,Steven Spielberg,6.3,6.633367404549396
American Graffiti,George Lucas,7.4,6.728922237097743
Wendell & Wild,Henry Selick,6.4,6.722096891915718
Memento,Christopher Nolan,8.4,6.751912873500352
Insurgent,Robert Schwentke,6.2,6.648455009688609
The Children's Hour,William Wyler,7.8,6.619357485491556
The Bedroom Window,Curtis Hanson,6.4,6.749757501337608
"McFarland, USA",Niki Caro,7.4,6.670008731316056
Zabriskie Point,Michelangelo Antonioni,6.9,6.67647484780429
Swamp Thing,Wes Craven,5.3,6.620794400266719
Der Baader Meinhof Komplex,Uli Edel,7.3,6.623668229817046
Ghosts of Mars,John Carpenter,4.9,6.707368515470296
Long Shot,Jonathan Levine,6.8,6.696950883350364
Captain America: Civil War,Anthony Russo,7.8,6.766282021251984
V/H/S,Matt Bettinelli-Olpin,5.8,6.682222506904942
Rising Sun,Philip Kaufman,6.2,6.659591099196123
Johnny English Reborn,Oliver Parker,6.3,6.668571816540893
